id,name,involveAs,profile_id,created_at,updated_at
79,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,24,"2010-06-16 08:12:49","2010-06-16 08:12:49"
80,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,24,"2010-06-16 08:13:01","2010-06-16 08:13:01"
81,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,24,"2010-06-16 08:13:18","2010-06-16 08:13:49"
82,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,25,"2010-06-16 08:22:40","2010-06-16 08:22:40"
83,"ค่ายย่อยรุ่น 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,25,"2010-06-16 08:22:54","2010-06-16 08:23:14"
84,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,25,"2010-06-16 08:23:25","2010-06-16 08:23:25"
85,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,25,"2010-06-16 08:23:34","2010-06-16 08:23:34"
86,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,26,"2010-06-16 08:34:08","2010-06-16 08:34:08"
87,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,26,"2010-06-16 08:34:18","2010-06-16 08:34:18"
88,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,26,"2010-06-16 08:34:30","2010-06-16 08:34:30"
89,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,26,"2010-06-16 08:34:51","2010-06-16 08:34:51"
90,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,26,"2010-06-16 08:35:11","2010-06-16 08:35:11"
91,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,27,"2010-06-16 08:48:14","2010-06-16 08:48:14"
